l,mu,nu,Real,Imag,Magnitud
15,0,26,-0.032468408065146996,-0.019631069185172125,0.037941750086651474
15,0,27,0.015575672302907172,0.002271840624106735,0.01574048371267196
15,0,28,0.10354942799939192,-0.022044546732024887,0.10586994889779479
15,0,29,-0.015575672302907174,0.002271840624106736,0.015740483712671963
15,0,30,-0.10354942799939189,-0.022044546732024894,0.10586994889779476
16,0,0,-0.028101768753089167,0.05826451424326499,0.06468742557140242
16,0,1,-0.07770745244902805,-0.007988506572077884,0.07811699177112548
16,0,2,0.14253463451641646,0.031170313818851526,0.1459030859861919
16,0,3,0.002357566211628823,-0.00233303124561097,0.003316798642548407
16,0,4,-0.028101768753089104,-0.05826451424326496,0.06468742557140236
16,0,5,0.06581601947720868,0.0184845004099736,0.06836245442661217
16,0,6,0.046107381437994095,-0.010096798548259348,0.04719995724566723
16,0,7,-0.07081005068439443,0.009125757145310578,0.071395677189881
16,0,8,-0.07894707241551144,0.02873851480835679,0.08401513242488015
16,0,9,0.07479718801149514,0.01178318483736299,0.07571963272057262
16,0,10,-0.012781706640138103,0.02519139613248797,0.028248512593382333
16,0,11,-0.07886706557934074,0.002594977132039111,0.07890974552874848
16,0,12,0.019683553386684424,-0.013462148283918977,0.02384683858176338
16,0,13,0.003000579613686949,-0.040200613195043734,0.04031243951034963
16,0,14,0.06050652768573498,2.8138913335860487e-19,0.06050652768573498
16,0,15,-0.0030005796136868723,-0.040200613195043755,0.04031243951034965
16,0,16,0.01968355338668441,0.013462148283918963,0.023846838581763362
16,0,17,-0.07886706557934074,-0.0025949771320391223,0.07890974552874848
16,0,18,0.07479718801149514,-0.011783184837362988,0.07571963272057262
16,0,19,-0.04278248768956409,0.005236238784605148,0.043101733718228855
16,0,20,-0.07894707241551145,-0.028738514808356787,0.08401513242488017
16,0,21,0.07081005068439443,0.009125757145310573,0.071395677189881
16,0,22,0.046107381437994074,0.010096798548259353,0.04719995724566721
16,0,23,-0.06581601947720864,0.018484500409973594,0.06836245442661214
16,0,24,0.06374249240169869,0.010769456882053842,0.06464585477132337
16,0,25,-0.002357566211628825,-0.00233303124561097,0.0033167986425484083
16,0,26,0.14253463451641646,-0.03117031381885152,0.1459030859861919
