lambda_A,B_0_0_Real,B_0_0_Imag,B_4_0_Real,B_4_0_Imag,B_6_0_Real,B_6_0_Imag,B_8_0_Real,B_8_0_Imag,B_10_0_Real,B_10_0_Imag,B_12_0_Real,B_12_0_Imag,B_12_1_Real,B_12_1_Imag,B_14_0_Real,B_14_0_Imag,B_16_0_Real,B_16_0_Imag,B_16_1_Real,B_16_1_Imag,B_18_0_Real,B_18_0_Imag,B_18_1_Real,B_18_1_Imag,B_20_0_Real,B_20_0_Imag,B_20_1_Real,B_20_1_Imag
1.100200400801603,11.207327426445577,0.0,0.0018539244981130765,1.9787411354747453e-18,0.03223865047500396,2.815769148174174e-16,-0.011689707499188467,-7.431518259048199e-19,0.01631481878312231,6.5597860834398e-16,0.024069665080176193,-4.201887007068902e-05,0.014280145276956351,-0.00010196847437080233,0.0003720613771630316,0.001929458116705303,0.015933616968342515,-2.209386190639214e-05,0.006097480031093395,-8.893634604694295e-07,-0.007369407692751849,-2.325826106024151e-05,-0.0011293779612821936,-9.872725874719435e-06,-0.0031053829821295043,-5.6809316121422366e-09,0.0023690742024518483,-5.332630576254932e-10
1.1102204408817635,11.412397783733201,0.0,0.003299783445701284,2.0734506885314536e-18,0.035462206730950324,3.098875621895046e-16,-0.005116379667893186,2.115998292987079e-20,0.019293059418198807,7.75859983840847e-16,0.022719138026377036,-3.4666577960102584e-05,0.010602475348414842,-8.412644272207672e-05,0.0006570014377215388,0.0034071173051198225,0.021192249350062062,-2.933866614690889e-05,0.007256348013393849,-1.180994873622749e-06,-0.005875902164086436,-2.07391122884278e-05,0.0032503360779448298,4.273271295810667e-05,-0.0037307016697896438,-8.378822673899598e-09,-0.005555023434665275,-7.865112483857361e-10
1.1202404809619237,11.619327346435941,0.0,0.004855007436701918,2.169709905867312e-18,0.03907481479505908,3.416166984135749e-16,0.0029875995124484006,9.55681994582799e-19,0.0230581678330762,9.273794389933768e-16,0.02073235503781858,-2.232675321580551e-05,0.004314667697066767,-5.418101341704964e-05,0.001010851597131929,0.0052421346008620666,0.030061082124215127,-4.18502061092731e-05,0.01454048015976212,-1.6846327855391271e-06,-0.0012485473191310666,-1.2749016013353762e-05,0.01647020213046317,0.00020145554077076914,-0.003683274115992855,-9.669037082842379e-09,-0.01303561185087354,-9.076223163839489e-10
1.1302605210420842,11.584020871481757,0.0,0.010846572786829123,1.912046676762162e-18,0.009170600934907009,7.98524472314344e-17,0.0066683127786661914,1.7585133976224224e-18,0.008807124043706751,3.542996010502999e-16,0.04190246209125329,-2.4861459441310854e-05,-0.0029493085430316217,-6.033206237097387e-05,0.0017921557474254771,0.009293868338704112,0.015910976948207804,-2.196420445434766e-05,0.004301216944525044,-8.841442461599712e-07,0.00992210508878377,2.5890934697612323e-05,0.011779795294368399,0.00013836709431903484,-0.00018002523135267917,1.439137964851089e-09,0.00969830255104697,1.3509036579889188e-10
1.1402805611222444,11.276114517354909,0.0,-0.02241130384101973,1.482172036326247e-19,-0.008519935354425393,-7.52305770021467e-17,-0.030158418350370822,-2.7081578569377676e-18,0.02209471661932007,8.890714686993453e-16,0.02988215485492299,-2.31688737307971e-05,0.0010292229115283031,-5.622461297138739e-05,0.0033496641528471456,0.017370888473370677,0.01974349797311478,-2.690021670641074e-05,-0.0011129153694066692,-1.0828378451359765e-06,0.0045106116372759745,8.214756693743124e-06,0.012080096191084622,0.0001448891121243567,0.0002303848018671055,-8.037359545198324e-10,-0.006799592422941905,-7.544584839562963e-11
1.1503006012024048,11.475159474797845,0.0,-0.023787187945809276,1.3781535617852426e-20,-0.0143372222267599,-1.2609715168681599e-16,-0.034104906169847356,-3.1484382054001374e-18,0.025796446236826306,1.0381193672878585e-15,0.030317057663420157,-1.202839752045041e-05,-0.00556580010458711,-2.9189679356512744e-05,0.005050789319195494,0.02619268498654181,0.01652096995913198,-2.2304409321975584e-05,-0.0046635149419468214,-8.978388089161375e-07,0.004713967563251261,7.425604230713232e-06,0.014817946292077996,0.00017815993577032882,-0.0004464297897801258,-2.906050557491267e-09,-0.010955208637531931,-2.727879040028768e-10
1.160320641282565,11.6759458579402,0.0,-0.025243563377426045,-1.34379933265911e-19,-0.020829468244796902,-1.828658099460851e-16,-0.0388018658860389,-3.680465979015112e-18,0.030351239160078442,1.2214671555826768e-15,0.03066829381762483,3.8924241669240045e-06,-0.014879350958340682,9.445864518413847e-06,0.007316427627714615,0.03794196747649827,0.009770929864260763,-1.2883634825078595e-05,-0.008357011776037777,-5.186161704134887e-07,0.0038710484782933786,2.3308617969899777e-06,0.019293573270440626,0.00023316989909332356,-0.0063920103913902675,-1.545502809114947e-08,-0.015460061342274326,-1.4507471901974954e-09
1.1703406813627255,11.778300736110754,0.0,-0.009517498489998952,2.316332166931237e-19,-0.010013940865713274,-8.798390119512745e-17,-0.04981885891246002,-4.965542156048624e-18,0.020465330279372054,8.238866641056549e-16,0.03261121607089744,8.750821706983593e-06,-0.018477939861705064,2.123588610188826e-05,0.008375061539055283,0.043431894456908024,0.010723344471397389,-1.403687807066296e-05,-0.011037715979720527,-5.650386749091634e-07,0.00014773061469369557,-1.0444029072997809e-05,0.020659683177544887,0.00025179316740395305,-0.010482561875491238,-2.4257848276089386e-08,-0.01947382452527195,-2.2770586372496445e-09
1.1803607214428857,11.98084733789254,0.0,-0.009326516215534642,1.0949066471634922e-19,-0.014319423918086773,-1.2556867130273785e-16,-0.05824046002413206,-5.946555496056077e-18,0.018992328598611892,7.646921955386268e-16,0.034050759365465824,2.5304371345352932e-05,-0.028604345686974564,6.140689020566308e-05,0.010172928707225621,0.052755381422512154,0.009917246079918916,-1.2789504211965663e-05,-0.013704246851440869,-5.148270488858555e-07,-0.005140935380936778,-2.8481841581527076e-05,0.02239609754404614,0.0002757585393584745,-0.015979863110282325,-3.574411920099995e-08,-0.023008913367872762,-3.3552627746922325e-09
1.1903807615230462,12.185120679672472,0.0,-0.009113050989009126,-2.5160636942839072e-20,-0.019054441473802246,-1.6690306116998964e-16,-0.06810815441288537,-7.10362857495396e-18,0.016727243469406995,6.73582829677312e-16,0.03583839813389119,4.6617550185373766e-05,-0.0416152681019787,0.0001131282317517959,0.012020663948782906,0.062337477222213916,0.01090699661316184,-1.4003370310373831e-05,-0.01620962765176331,-5.636898578605872e-07,-0.011427710874013255,-4.981918729669302e-05,0.02426222638403359,0.00030183299229168034,-0.022506388043771516,-4.920164417131477e-08,-0.026236793463794456,-4.618506450062834e-09
