lambda_A,Sigma_z,Sigma_x,Sigma_y
4.0160320641282565,8.309047491459149,5.080648673095415,4.724470582646675
4.026052104208416,8.44297407154571,5.334329868507782,4.918088511148421
4.0360721442885765,8.580669906487557,5.595891997029069,5.126349022146443
4.046092184368737,8.721591816701162,5.863429541740684,5.350458879520122
4.056112224448897,6.194215306955888,2.9462384791251486,2.6341202699136814
4.066132264529058,6.224592671204231,3.063965971971572,2.6836790139116835
4.076152304609218,6.2517116560506505,3.185899864464521,2.734913590295808
4.086172344689379,6.275374268569336,3.312043267643821,2.7878818213810277
4.096192384769539,6.295381011276006,3.442386854694018,2.84264629605637
4.1062124248497,6.3115314719688085,3.5769078573163138,2.8992747913854617
4.11623246492986,6.3236249614845415,3.71556902986171,2.9578407182330744
4.1262525050100205,6.33146120081558,3.858317582496492,3.0184235915655644
4.13627254509018,6.334841058963863,4.00508408490108,3.0811095260496533
4.1462925851703405,6.333567342826992,4.155781342249312,3.145991757546416
4.156312625250501,6.327445640317008,4.310303245477337,3.2131711910654475
4.166332665330661,6.316285217803971,4.468523598131858,3.2827569757079726
4.176352705410821,6.299899972852569,4.630294922385453,3.354867107086317
4.186372745490981,6.2781094430801865,4.795447247124409,3.4296290576609243
4.196392785571142,6.250739871807309,4.963786881351308,3.507180435384
4.206412825651302,6.217625330995284,5.135095176503907,3.5876696709816414
4.216432865731463,6.178608901770432,5.309127281670401,3.6712567341419198
4.226452905811623,6.133543912616497,5.485610896084578,3.758113878806258
4.236472945891784,6.082295235077579,5.664245023710242,3.848426417684024
4.246492985971944,6.024740636549904,5.844698735174496,3.9423935260253145
4.2565130260521045,5.960772189451126,6.026609942786314,4.040229074594531
4.266533066132265,5.890297735739231,6.20958419487878,4.1421624916863715
4.276553106212425,5.813242405407068,6.3931934962446295,4.2484396539164635
4.286573146292585,5.729550187202089,6.57697516199298,4.3593238053999315
4.296593186372745,5.639185549411396,6.76043071274522,4.475096504803126
4.306613226452906,5.542135108108656,6.9430248197067765,4.596058599614397
4.316633266533065,5.438409339778233,7.124184308805302,4.72253122683113
4.326653306613226,5.328044334712928,7.303297233770527,4.85485683909888
4.336673346693386,5.21110358702104,7.479712028751695,4.993400255165577
4.346693386773547,5.08767981647398,7.652736751825835,5.138549733328975
4.356713426853707,4.957896816776359,7.821638431542867,5.290718066356134
4.3667334669338675,4.821911324141115,7.985642529487413,5.450343696141969
4.376753507014028,4.679914899303396,8.143932532708694,5.61789184614585
4.386773547094188,4.532135815301995,8.295649690785565,5.7938556694038255
4.396793587174349,4.378840942497337,8.43989291325015,5.978757409654493
4.406813627254509,4.22033762137334,8.575718844095883,6.173149572841547
4.41683366733467,4.056975512686556,8.70214213114418,6.377616105962923
4.426853707414829,3.88914841347501,8.81813590913918,6.592773579924379
4.43687374749499,3.7172960263182047,8.92263251658575,6.819272372724426
4.44689378757515,3.5419056680447283,9.014524467541774,7.0577978489457776
4.456913827655311,3.363513902811465,9.092665700824941,7.309071531155808
4.46693386773547,3.18270808312435,9.155873130397673,7.573852258423143
4.476953907815631,3.000127780930682,9.202928522053355,7.852937326739127
4.486973947895791,2.8164660893833435,9.232580722945295,8.14716360568958
4.4969939879759515,2.6324707742523423,9.243548271977467,8.45740862525473
4.507014028056112,2.4489452522361015,9.234522420616008,8.784591626118836
4.517034068136272,2.2667493715965814,9.204170595284365,9.129674566349287
4.527054108216433,2.086799968605582,9.151140334174364,9.49366307675211
4.537074148296593,1.910071171238368,9.074063733043566,9.877607356628786
4.547094188376754,1.7375944193789532,8.971562436376727,10.282603001045288
4.557114228456914,1.5704581685046748,8.842253212169325,10.709791750077008
4.567134268537075,1.4098072413890206,8.684754150545615,11.160362149811569
4.577154308617234,1.2568417897950503,8.497691528454897,11.635550114174135
4.587174348697395,1.112815825420942,8.279707384799254,12.13663937588547
4.597194388777555,0.9790352764981993,8.029467852538446,12.664961814067189
4.6072144288577155,0.8568555234226867,7.745672296591589,13.221897645176393
4.617234468937875,0.7476783636148947,7.427063308717529,13.808875463072429
4.6272545090180355,0.6529483524480981,7.072437613004338,14.427372113100095
4.637274549098196,0.5741484635462656,6.680657938141218,15.078912384102718
4.647294589178356,0.5127950080269468,6.250665915278581,15.765068501268063
4.657314629258517,0.4704317483421561,5.781496063014504,16.48745940164212
4.667334669338677,0.448623138241782,5.272290923875131,17.24774977303124
4.677354709418838,0.0,0.0,0.0
4.687374749498998,0.0,0.0,0.0
4.697394789579159,0.0,0.0,0.0
4.707414829659319,0.0,0.0,0.0
4.7174348697394795,0.0,0.0,0.0
4.727454909819639,0.0,0.0,0.0
4.7374749498997994,0.0,0.0,0.0
4.74749498997996,0.0,0.0,0.0
4.757515030060119,0.0,0.0,0.0
4.76753507014028,0.0,0.0,0.0
4.77755511022044,0.0,0.0,0.0
4.787575150300601,0.0,0.0,0.0
4.797595190380761,0.0,0.0,0.0
4.807615230460922,0.0,0.0,0.0
4.817635270541082,0.0,0.0,0.0
4.8276553106212425,0.0,0.0,0.0
4.837675350701403,0.0,0.0,0.0
4.847695390781563,0.0,0.0,0.0
