l,mu,nu,Real,Imag,Magnitud
14,0,0,0.005831312841090933,0.01772976791827648,0.01866410672619019
14,0,1,0.030362200631548725,0.013230088846379157,0.0331194576959452
14,0,2,0.031425143225915296,-0.02906268646847952,0.042803964437122324
14,0,3,0.012827999212524768,-0.020078669219698114,0.02382667667616675
14,0,4,-0.013342616230410095,-0.032093189497232666,0.03475626878675684
14,0,5,0.00902042534684503,-0.007471424740636581,0.011712824641946992
14,0,6,-0.03005670633094393,-0.03893181694632372,0.04918426543323244
14,0,7,0.048961751381613905,0.023705804326736305,0.054398697200691126
14,0,8,0.015238253057685735,-0.08132284263423842,0.08273819607873485
14,0,9,0.00564893003542177,-0.06707997357364805,0.06731740685132198
14,0,10,-0.0792039108562662,-0.020898685020710874,0.0819146783581688
14,0,11,-0.03360998034774964,-0.0027339733119031867,0.033720993298630986
14,0,12,0.03360998034774963,-0.002733973311903157,0.03372099329863098
14,0,13,-0.07920391085626612,0.0208986850207109,0.08191467835816872
14,0,14,-0.00564893003542177,-0.06707997357364805,0.06731740685132198
14,0,15,-0.015238253057685728,-0.08132284263423845,0.08273819607873487
14,0,16,0.04896175138161391,-0.02370580432673631,0.05439869720069114
14,0,17,0.030056706330943938,-0.03893181694632372,0.04918426543323245
14,0,18,0.00902042534684503,0.007471424740636579,0.01171282464194699
14,0,19,0.013342616230410094,-0.032093189497232666,0.03475626878675684
14,0,20,0.012827999212524775,0.020078669219698125,0.023826676676166763
14,0,21,-0.031425143225915296,-0.02906268646847952,0.042803964437122324
14,0,22,-0.030362200631548722,0.013230088846379153,0.0331194576959452
14,0,23,0.005831312841090934,-0.01772976791827648,0.01866410672619019
14,0,24,0.03988996973001887,-0.015007429447086856,0.042619627211780156
14,0,25,-0.03523032828504892,5.409805982302477e-19,0.03523032828504892
14,0,26,0.03988996973001887,0.01500742944708686,0.042619627211780156
14,0,27,-0.010232638404188825,-0.04040155389566023,0.041677241342186006
14,0,28,-0.01023263840418883,0.04040155389566023,0.041677241342186006
15,0,0,-0.014612194467778186,-0.03729437141552872,0.040054792053430675
15,0,1,0.00870001262288236,-0.012711352876751389,0.015403529192870321
15,0,2,-0.03480814189991566,0.0015564610645622465,0.03484292343604598
15,0,3,0.020873616038424258,0.029617009659374277,0.03623361847349822
15,0,4,0.035040011463318414,-0.01575813917488777,0.03842032474621497
15,0,5,0.02664051365850902,-0.027632294164884302,0.03838307763590493
15,0,6,-0.022087978757378435,0.012777360646614883,0.025517440127882415
15,0,7,0.05280087177912535,0.04026123596703771,0.06639954203327857
15,0,8,0.018000587671159418,-0.015908001312445425,0.02402260731610667
15,0,9,-0.025574924208521026,0.06692415750649766,0.0716443968934494
15,0,10,0.03637087656265913,-0.022990861759058238,0.04302813482316325
15,0,11,-0.009415413303383243,0.04110383075850225,0.04216841128969791
15,0,12,0.01036706424360875,0.023098800370319587,0.025318582100484762
15,0,13,-8.682999661512006e-19,0.015912026031353433,0.015912026031353433
15,0,14,0.010367064243608799,-0.023098800370319698,0.025318582100484884
15,0,15,-0.009415413303383243,-0.04110383075850224,0.042168411289697894
15,0,16,-0.03637087656265914,-0.02299086175905823,0.04302813482316325
15,0,17,-0.025574924208521022,-0.06692415750649765,0.07164439689344938
15,0,18,0.0180005876711594,0.015908001312445373,0.024022607316106625
15,0,19,-0.05280087177912535,0.04026123596703771,0.06639954203327857
15,0,20,-0.02208797875737844,-0.012777360646614881,0.025517440127882415
15,0,21,-0.02664051365850902,-0.02763229416488431,0.03838307763590493
15,0,22,0.03504001146331843,0.015758139174887782,0.03842032474621499
15,0,23,-0.020873616038424265,0.029617009659374274,0.03623361847349822
15,0,24,-0.03480814189991566,-0.0015564610645622465,0.03484292343604598
15,0,25,-0.008700012622882362,-0.012711352876751389,0.015403529192870321
15,0,26,-0.014612194467778186,0.03729437141552872,0.040054792053430675
15,0,27,-0.022995161600793883,-0.021160897634056125,0.03124997673160138
15,0,28,-0.03262793694129961,0.01983173167755843,0.03818219284399599
15,0,29,0.022995161600793883,-0.02116089763405612,0.031249976731601375
15,0,30,0.03262793694129961,0.01983173167755843,0.03818219284399599
16,0,0,0.02801468184956481,-0.007225777324835619,0.028931544325881478
16,0,1,0.019325271307599947,0.025405197145873054,0.03192005878962353
16,0,2,0.012594930436261215,-0.012895057994731311,0.018025393016013355
16,0,3,-0.0012122228168215763,0.011396594839218958,0.011460883826604954
16,0,4,0.028014681849564817,0.007225777324835619,0.028931544325881485
16,0,5,0.015920670464322245,0.0060677774449388365,0.01703777189525823
16,0,6,0.021571279804124887,-0.013960119684472869,0.02569445570532003
16,0,7,0.0007632391363925492,-0.01323181139059398,0.013253805742335817
16,0,8,0.018985210204116303,-0.023733494183344927,0.0303927121633682
16,0,9,-0.013946285826430838,-0.01350304180433858,0.01941213605768878
16,0,10,-0.009047020957420833,-0.020718860981383636,0.02260795852282804
16,0,11,-0.008244831487519094,-0.018625109495828816,0.02036840568108361
16,0,12,-0.027081294386524995,-0.01333663232224537,0.03018712088537743
16,0,13,-0.0017157214036519902,-0.027628892153146577,0.027682113025294042
16,0,14,-0.008813097420449145,3.2994408253931488e-19,0.008813097420449145
