lambda_A,B_0_0,B_4_0,B_6_0
1.9919839679358717,86.85689384074887,-0.40399113469529674,2.8594621238254563
2.0020040080160317,87.73290336582996,-0.42612820994446615,3.005248051346432
2.012024048096192,88.61330832254724,-0.4491185269493095,3.1579536245446924
2.0220440881763526,89.4981087109007,-0.4729846312762207,3.31785774308918
2.032064128256513,90.38730453089022,-0.4977494656713725,3.485248165589837
2.0420841683366735,91.28089578251584,-0.523436374313011,3.660421719591542
2.052104208416834,92.17888246577766,-0.5500691070848881,3.843684515056454
2.062124248496994,93.08126458067558,-0.5776718238708022,4.035352161370956
2.072144288577154,93.98804212720961,-0.6062690988702909,4.235749987913992
2.0821643286573144,94.89921510537982,-0.6358859249354105,4.445213268223187
2.092184368737475,86.78363502079297,0.9032223525820097,3.0094858961715256
2.1022044088176353,87.61688645986153,0.9624689850022539,3.05418564392982
2.1122244488977957,88.45411903337377,1.0237888653656122,3.09762418794205
2.122244488977956,89.29533274132973,1.0872311367041376,3.139690635921884
2.132264529058116,90.14052758372935,1.1528457355185944,3.180269951818344
2.1422845691382766,90.98970356057276,1.2206833997450957,3.219242855158299
2.1523046092184366,91.84286067185984,1.2907956767593962,3.2564857187485523
2.162324649298597,92.69999891759062,1.363234931418965,3.2918704647211565
2.1723446893787575,93.56111829776512,1.4380543541426785,3.325264458905254
2.182364729458918,62.673448328431206,-0.24070957356988312,2.935332092810302
2.1923847695390783,63.250283284979616,-0.258938444449105,2.918969802173592
2.2024048096192383,63.82976063711455,-0.2778998458799195,2.897488041786986
2.212424849699399,64.41188038483611,-0.2976124320643554,2.8706236702321184
2.222444889779559,64.99664252814418,-0.3180951646859182,2.838105100075877
2.2324649298597192,65.58404706703888,-0.3393673159453405,2.7996521090497
2.2424849699398797,66.17409400152015,-0.3614484716101001,2.7549756483309364
2.25250501002004,66.76678333158794,-0.38435853407773174,2.7037776478984883
2.2625250501002006,67.36211505724235,-0.40811772545291675,2.645750818934906
2.272545090180361,67.96008917848332,-0.4327465906383424,2.5805784532469604
2.282565130260521,68.56070569531083,-0.4582660004393491,2.5079342196765753
2.292585170340681,69.1639646077249,-0.4846971546823637,2.4274819574738813
2.3026052104208414,69.76986591572556,-0.5120615853471003,2.338875466604062
2.312625250501002,70.37840961931282,-0.5403811597125447,2.2417582949595074
2.3226452905811623,70.98959571848665,-0.5696780835167238,2.1357635224486318
2.3326653306613228,71.60342421324704,-0.5999749041302549,2.0205135419326616
2.342685370741483,72.21989510359398,-0.6312945137436704,1.8956198369815298
2.352705410821643,72.8390083895275,-0.6636601525685191,1.7606827564199035
2.3627254509018036,73.46076407104762,-0.6970954120522681,1.6152912856341777
2.3727454909819636,74.08516214815424,-0.731624238106943,1.459022814611339
2.382765531062124,74.7122026208475,-0.7672709343516125,1.2914429026801058
2.3927855711422845,75.3418854891273,-0.8040601653685728,1.1121050399252062
2.402805611222445,75.97421075299373,-0.842016959973392,0.9205504052447829
2.4128256513026054,76.60917841244667,-0.8811667144986715,0.7163076210215518
2.4228456913827654,77.24678846748613,-0.9215351960916267,0.49889250437760185
2.432865731462926,77.88704091811228,-0.9631485460254358,0.2678078149829647
2.442885771543086,78.52993576432489,-1.0060332830243455,0.02254299938794632
2.4529058116232463,79.17547300612415,-1.0502163066026162,-0.2374260681514305
2.4629258517034067,79.82365264350996,-1.0957249004171687,-0.5126373483845097
2.472945891783567,80.47447467648233,-1.1425867356340778,-0.8036429033449111
2.4829659318637276,81.12793910504128,-1.1908298743088164,-1.111009166227304
2.492985971943888,81.78404592918682,-1.2404827727802727,-1.4353172148929545
2.503006012024048,82.44279514891885,-1.2915742850785585,-1.777163049034959
2.513026052104208,83.1041867642375,-1.3441336663466246,-2.1371578710342205
2.5230460921843685,83.76822077514275,-1.3981905762755842,-2.5159283705369146
2.533066132264529,84.43489718163454,-1.4537750825538922,-2.914117012785155
2.5430861723446894,85.10421598371293,-1.5109176643302586,-3.3323823307319334
2.55310621242485,85.77617718137786,-1.5696492156903665,-3.7713992209719196
2.5631262525050102,58.286845465697255,0.2109737948157433,0.5123995138202586
2.5731462925851702,58.74345825669764,0.23569547530636448,0.45681360676876714
2.5831663326653307,59.201852603652036,0.26119599078620814,0.3998778349989026
2.5931863727454907,59.662028506560375,0.28749084268241987,0.34160092184599783
2.603206412825651,60.123985965422634,0.3145957389902644,0.28199288194114097
