# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.340540e+00	4.029470e-01	5.674258e-02	1.434076e+00	2.098256e-03	1.216435e-02	1.144752e-03	7.474981e-04
1.148240e+00	4.312540e-01	3.355780e-02	1.434111e+00	7.246412e-04	6.402669e-03	3.721595e-04	2.973875e-04
3.118730e+00	1.393060e+00	4.989271e-02	1.436862e+00	2.226844e-03	1.202486e-02	3.542871e-03	1.496089e-03
-3.132260e+00	1.469980e+00	2.719414e-01	1.436700e+00	2.427986e-03	1.879291e-02	4.502840e-04	3.111788e-04
-3.100760e+00	1.546530e+00	4.934340e-01	1.438084e+00	3.179825e-03	2.082262e-02	6.611627e-04	2.751767e-04
3.015640e+00	1.442460e+00	1.078521e-01	1.436943e+00	1.882996e-03	1.179151e-02	5.551723e-04	4.561290e-04
3.056090e+00	1.515340e+00	4.235858e-01	1.437996e+00	3.067341e-03	1.674389e-02	9.882578e-04	3.171081e-04
-4.562050e-02	1.553730e+00	6.012944e-01	1.438057e+00	2.882280e-03	2.226059e-02	3.915095e-04	2.122365e-04
2.919250e+00	1.502610e+00	1.062126e-01	1.438159e+00	1.300280e-03	1.209492e-02	3.610815e-04	3.426364e-04
-1.745280e-01	1.570790e+00	3.615533e-01	1.438634e+00	3.353138e-03	1.865661e-02	1.547623e-03	4.482253e-04
-1.270030e-01	1.503020e+00	3.567330e-01	1.438050e+00	1.898772e-03	1.817721e-02	2.658950e-04	1.782752e-04
-3.116990e-01	1.569360e+00	5.856297e-03	1.412092e+00	4.937690e-06	1.391288e+08	2.378917e+07	1.902865e+07
-2.572710e-01	1.506320e+00	8.267579e-02	1.439221e+00	2.174396e-03	1.441409e-02	2.519787e-03	9.862986e-04
-2.027380e-01	1.443850e+00	7.174179e-02	1.439351e+00	2.484106e-03	8.883242e-03	2.240356e-03	7.763401e-04
-3.940050e-01	1.491520e+00	5.171232e-02	1.437988e+00	3.632597e-03	9.124157e-03	7.851886e-03	2.054080e-03
-3.335220e-01	1.433920e+00	4.341643e-02	1.440226e+00	2.547707e-03	6.470999e-03	3.291782e-03	1.168842e-03
-2.724570e-01	1.377160e+00	4.339182e-02	1.439125e+00	4.040125e-03	1.297329e-02	1.693409e-02	4.003470e-03
9.530140e-01	8.379730e-01	nan	nan	nan	nan	nan	nan
8.428690e-01	8.193620e-01	8.048615e-01	1.408120e+00	3.178529e-02	1.998166e+01	8.122523e-05	2.344772e-01
7.301990e-01	8.070480e-01	nan	nan	nan	nan	nan	nan
9.891650e-01	7.276500e-01	7.103227e-03	1.458453e+00	1.294891e-03	4.948657e-02	1.605604e-02	3.265283e-03
8.644040e-01	7.155760e-01	4.458367e-11	1.472340e+00	3.122025e-02	7.451560e-01	9.247852e+07	1.410452e+07
7.380760e-01	7.113810e-01	5.771307e-01	1.469442e+00	3.500000e-02	1.626015e+01	1.982797e+00	2.266369e+01
1.017270e+00	6.157820e-01	nan	nan	nan	nan	nan	nan
8.727800e-01	6.108490e-01	4.027974e-06	1.413086e+00	2.216902e-04	2.035113e+05	4.196562e+07	1.227429e+08
7.291670e-01	6.157170e-01	nan	nan	nan	nan	nan	nan
1.033740e+00	5.028970e-01	3.191866e-02	1.436679e+00	2.383951e-03	6.795609e-03	3.712768e-03	1.358708e-03
8.614580e-01	5.061660e-01	3.989007e-02	1.436352e+00	9.299512e-03	7.617292e-02	5.383289e-02	1.774886e-02
6.958930e-01	5.215770e-01	1.462559e-09	1.471068e+00	3.384571e-02	1.178443e+01	3.501041e+08	7.235725e+07
1.030270e+00	3.896880e-01	2.789892e-02	1.436714e+00	3.473340e-03	9.322112e-03	1.483716e-02	3.915618e-03
8.170730e-01	4.031180e-01	4.635628e-02	1.436217e+00	2.093923e-03	7.804785e-03	2.040019e-03	7.958137e-04
6.248390e-01	4.314180e-01	6.441514e-13	1.415472e+00	3.471760e-05	nan	nan	nan
2.595190e+00	1.393040e+00	nan	nan	nan	nan	nan	nan
2.627400e+00	1.469960e+00	nan	nan	nan	nan	nan	nan
2.658910e+00	1.546510e+00	4.322279e-02	1.436269e+00	8.865866e-03	3.284360e-02	3.471538e-02	1.213861e-02
2.492110e+00	1.442460e+00	nan	nan	nan	nan	nan	nan
2.532570e+00	1.515340e+00	4.443692e-02	1.433023e+00	1.097001e-02	1.355277e-01	1.067546e+00	1.093546e-01
-5.691290e-01	1.553750e+00	1.578536e-02	1.436888e+00	2.597849e-03	7.614013e-03	9.107849e-03	3.453262e-03
2.395720e+00	1.502630e+00	9.444449e-03	1.433869e+00	1.309642e-03	1.414346e-02	3.459745e-03	6.179907e-03
-6.980390e-01	1.570780e+00	nan	nan	nan	nan	nan	nan
-6.505020e-01	1.503020e+00	2.405302e-02	1.436837e+00	7.837893e-03	2.748326e-02	2.833418e-02	1.356220e-02
-8.352100e-01	1.569330e+00	1.719513e-02	1.457842e+00	5.960115e-05	2.663078e+01	7.493119e+00	2.105053e+01
-7.807710e-01	1.506290e+00	nan	nan	nan	nan	nan	nan
-7.262280e-01	1.443830e+00	nan	nan	nan	nan	nan	nan
-9.175030e-01	1.491470e+00	3.561502e-02	1.409274e+00	1.768270e-05	1.529964e+09	4.260583e+07	4.235524e+07
-8.570100e-01	1.433880e+00	2.978095e-02	1.436251e+00	2.507040e-03	6.590288e-03	3.460730e-03	1.240143e-03
-7.959350e-01	1.377140e+00	2.106576e-02	1.439064e+00	1.917112e-03	5.767445e-03	3.161000e-03	1.211912e-03
4.292900e-01	8.380100e-01	1.944594e-02	1.421466e+00	1.539310e-04	9.349217e-03	2.009697e-04	1.973576e-04
3.191480e-01	8.194020e-01	nan	nan	nan	nan	nan	nan
2.064830e-01	8.070910e-01	nan	nan	nan	nan	nan	nan
4.654330e-01	7.276850e-01	1.689521e-02	1.436798e+00	3.357301e-03	1.495335e-02	2.423222e-02	6.299337e-03
3.406760e-01	7.156160e-01	nan	nan	nan	nan	nan	nan
2.143540e-01	7.114240e-01	nan	nan	nan	nan	nan	nan
4.935280e-01	6.158170e-01	nan	nan	nan	nan	nan	nan
3.490440e-01	6.108880e-01	nan	nan	nan	nan	nan	nan
2.054400e-01	6.157600e-01	3.251534e-02	1.432141e+00	2.217719e-03	1.406277e-02	2.459981e-03	1.866466e-03
5.099780e-01	5.029310e-01	3.873924e-03	1.409860e+00	8.393978e-08	nan	nan	nan
3.377110e-01	5.062060e-01	nan	nan	nan	nan	nan	nan
1.721610e-01	5.216200e-01	2.236748e+00	1.472706e+00	3.500000e-02	nan	nan	nan
5.064950e-01	3.897220e-01	2.266031e-02	1.436030e+00	4.187117e-03	9.505676e-03	2.882814e-02	6.964863e-03
2.933150e-01	4.031590e-01	3.732290e-02	1.434746e+00	9.915073e-03	3.464638e-02	4.446776e-01	4.612569e-02
1.011040e-01	4.314630e-01	1.966333e-02	1.433076e+00	1.004057e-03	1.239790e-02	1.297903e-03	1.496745e-03
2.071490e+00	1.393010e+00	nan	nan	nan	nan	nan	nan
2.103700e+00	1.469920e+00	nan	nan	nan	nan	nan	nan
2.135220e+00	1.546470e+00	nan	nan	nan	nan	nan	nan
1.968410e+00	1.442430e+00	nan	nan	nan	nan	nan	nan
2.008880e+00	1.515300e+00	2.364936e-02	1.437636e+00	2.711427e-04	6.973331e-03	2.325527e-04	2.790007e-04
-1.092820e+00	1.553780e+00	2.317624e-02	1.437000e+00	4.482672e-05	1.371730e+03	1.333291e+02	2.041478e+02
1.872020e+00	1.502600e+00	8.314918e-02	1.436335e+00	2.038958e-03	1.670307e-02	9.520930e-04	8.074849e-04
