lambda_A,B_0_0,B_2_0,B_4_0,B_6_0,B_6_1
3.004008016032064,25.124431780309624,0.7016214783516789,-0.29809446517765265,0.26909669531065966,0.3485305947078499
3.0140280561122244,25.292319263751494,0.7137147502776899,-0.31006763128278353,0.23702139764356253,0.3304080713288027
3.024048096192385,25.46076581307227,0.7259470897416734,-0.32233661681811515,0.2031968711569735,0.3112908378413848
3.034068136272545,25.62977142827199,0.7383194820850727,-0.33490642754404165,0.16756898300005582,0.2911498144941192
3.0440881763527052,25.799336109350637,0.7508329159196339,-0.34778212654310137,0.13008242271121137,0.2699553230411893
3.0541082164328657,25.96945985630821,0.7634883831274012,-0.36096883462462315,0.09068068368255522,0.24767707771561
3.064128256513026,26.140142669144716,0.7762868788607205,-0.3744717307307249,0.04930604442053959,0.2242841761057464
3.074148296593186,26.311384547860126,0.789229401542236,-0.38829605234364545,0.005899549601372454,0.19974508993455434
3.0841683366733466,26.483185492454478,0.8023169528648945,-0.4024470958944138,-0.03959900908021439,0.17402765574086046
3.094188376753507,26.655545502927758,0.8155505377919424,-0.41693021717285794,-0.0872511122702614,0.14709906546201865
3.1042084168336674,26.828464579279984,0.828931164556925,-0.4317508317389527,-0.13711953252436718,0.11892585691727671
3.1142284569138274,27.00194272151111,0.8424598446636865,-0.4469144153355048,-0.18926835408739584,0.08947390419118327
3.124248496993988,27.17597992962118,0.8561375928863754,-0.46242650430218213,-0.2437629928855567,0.05870840791635189
3.1342685370741483,27.350576203610167,0.8699654272694386,-0.4782926959908732,-0.3006702167322551,0.026593885454930032
3.1442885771543083,27.525731543478074,0.8839443691276199,-0.4945186491823869,-0.3600581657491874,-0.006905839021917438
3.1543086172344688,27.701445949224926,0.8980754430459694,-0.5111100845045018,-0.4219963730041612,-0.041827644557208145
3.164328657314629,27.877719420850703,0.9123596768798337,-0.5280727848513365,-0.48655578536700944,-0.07820912353466121
3.1743486973947896,28.0545519583554,0.9267981017548585,-0.5454125958040693,-0.5538087845851288,-0.11608859190925566
3.1843687374749496,28.231943561739026,0.9413917520669915,-0.5631354260529982,-0.6238292085800953,-0.15550509954250888
3.19438877755511,28.40989423100158,0.9561416654824811,-0.5812472478209345,-0.6966923729668062,-0.19649844064315564
3.2044088176352705,28.588403966143062,0.971048882937875,-0.5997540972879333,-0.7724750927966,-0.23910916431390125
3.214428857715431,28.767472767163483,0.9861144486400207,-0.6186620750173678,-0.8512557045258974,-0.28337858520498066
3.224448897795591,28.947100634062803,1.0013394100660657,-0.6379773463833401,-0.9331140882117805,-0.3293487942751823
3.2344689378757514,23.379678975187467,-0.2720968815159679,0.07438110971329105,0.09595243993265022,0.1412561763036005
3.244488977955912,23.524758856551557,-0.2765955642977496,0.08155973942559219,0.08728767459253961,0.12878594516579878
3.254509018036072,23.670287484842213,-0.2811429848132503,0.08892710166571355,0.07847637499761068,0.1159635255308957
3.2645290581162323,23.816264860059455,-0.2857394656953984,0.09648628511866013,0.06952034079469527,0.10278459025044784
3.2745490981963927,23.96269098220329,-0.29038533057198024,0.1042404118265271,0.06042149618607301,0.08924480976194449
3.284569138276553,24.109565851273697,-0.2950809040656417,0.11219263740863325,0.05118189262685491,0.07533985289762464
3.294589178356713,24.256889467270685,-0.29982651179388947,0.12034615128233063,0.04180371155522857,0.06106538770666247
3.3046092184368736,24.404661830194264,-0.30462248036908807,0.1287041768844876,0.03228926715578183,0.04641708229081985
3.314629258517034,24.552882940044423,-0.30946913739846266,0.13726997189365286,0.022641009156140736,0.03139060565366656
3.3246492985971945,24.701552796821172,-0.31436681148409684,0.14604682845289205,0.012861525657142433,0.015981628563467062
3.3346693386773545,24.850671400524483,-0.3193158322229349,0.1550380733933041,0.00295354599677562,0.00018582442983955798
3.344689378757515,25.000238751154388,-0.3243165302067802,0.16424706845821416,-0.007080056351889279,-0.016001129805721562
3.3547094188376754,25.150254848710876,-0.3293692370222945,0.17367721052803897,-0.017236260848535405,-0.03258355276533611
3.3647294589178354,25.300719693193948,-0.33447428525100037,0.18333193184583718,-0.02751189691899115,-0.04956575771617328
3.374749498997996,25.451633284603595,-0.33963200846927905,0.19321470024352627,-0.037903640953927925,-0.06695205163769331
3.3847695390781563,25.60299562293983,-0.3448427412483727,0.203329019368786,-0.048408013272645586,-0.08474673427462205
3.3947895791583167,25.75480670820265,-0.35010681915438013,0.2136784289126295,-0.05902137505170098,-0.10295409717552856
3.4048096192384767,25.907066540392048,-0.3554245787482626,0.22426650483765925,-0.06973992521816412,-0.12157842271693849
3.414829659318637,26.059775119508032,-0.3607963575858398,0.23509685960699467,-0.08055969730724558,-0.1406239831128354
3.4248496993987976,26.212932445550592,-0.36622249421778946,0.24617314241387628,-0.09147655628408159,-0.16009503940948555
3.434869739478958,26.366538518519747,-0.37170332818965046,0.25749903941195085,-0.10248619532942758,-0.17999584046545802
3.444889779559118,26.52059333841547,-0.37723920004182093,0.2690782739462261,-0.11358413258902685,-0.20033062191674
3.4549098196392785,26.675096905237787,-0.3828304513095584,0.28091460678471314,-0.12476570788643133,-0.2211036051268609
3.464929859719439,26.83004921898668,-0.3884774245229797,0.2930118363507316,-0.13602607939900807,-0.24231899612187924
3.474949899799599,26.985450279662146,-0.3941804632070598,0.3053737989559027,-0.14736022029692963,-0.2639809845101787
3.4849699398797593,27.141300087264202,-0.3999399118816359,0.3180043690338164,-0.15876291534487869,-0.28609374238692764
3.49498997995992,27.297598641792842,-0.4057561160614029,0.3309074593743702,-0.17022875746624366,-0.30866142322310647
3.50501002004008,27.45434594324808,-0.41162942225591637,0.34408702135879127,-0.18175214426956518,-0.3316881607390139
3.51503006012024,27.611541991629867,-0.41756017796958866,0.3575470451953296,-0.19332727453698342,-0.3551780677621128
3.5250501002004007,27.76918678693826,-0.4235487317016948,0.3712915601556352,-0.2049481446744567,-0.37913523506915014
3.535070140280561,27.92728032917323,-0.4295954329463676,0.3853246348118019,-0.21660854512349725,-0.40356373021239705
3.5450901803607215,28.085822618334785,-0.43570063219259975,0.3996503772740981,-0.22830205673419124,-0.4284675963299435
3.5551102204408815,28.244813654422916,-0.44186468092424286,0.41427293542936666,-0.2400220470992556,-0.4538508509399125
